,,,,,,,,,,,,,
,,,,,,,,,,,,,
s_coord,East_P,North_P,East_MP,North_MP,Max_speed,All_way_stop,Bus_stop,Right_curb_east,Right_curb_north,Left_curb_east,Left_curb_north,Center_line_east,Center_line_north
22.70974795,-395.6219774,607.8813415,,,5.555555556,0,0,-395.6219774,607.8813415,-395.6219774,607.8813415,-395.6219774,607.8813415
23.31202066,-395.0841861,608.1524742,,,5.555555556,0,0,-395.0841861,608.1524742,-395.0841861,608.1524742,-395.0841861,608.1524742
23.91416858,-394.5489513,608.428347,,,5.555555556,0,0,-394.5489513,608.428347,-394.5489513,608.428347,-394.5489513,608.428347
24.51595413,-394.0126428,608.7013288,,,5.555555556,0,0,-394.0126428,608.7013288,-394.0126428,608.7013288,-394.0126428,608.7013288
25.11613223,-393.4752892,608.9686579,,,5.555555556,0,0,-393.4752892,608.9686579,-393.4752892,608.9686579,-393.4752892,608.9686579
25.71290293,-392.9363893,609.2250213,,,5.555555556,0,0,-392.9363893,609.2250213,-392.9363893,609.2250213,-392.9363893,609.2250213
26.30702149,-392.396025,609.4719692,,,5.555555556,0,0,-392.396025,609.4719692,-392.396025,609.4719692,-392.396025,609.4719692
26.89135569,-391.8592779,609.7029433,,,5.555555556,0,0,-391.8592779,609.7029433,-391.8592779,609.7029433,-391.8592779,609.7029433
27.48137161,-391.3174198,609.9364139,,,5.555555556,0,0,-391.3174198,609.9364139,-391.3174198,609.9364139,-391.3174198,609.9364139
28.06851819,-390.7717184,610.1530961,,,5.555555556,0,0,-390.7717184,610.1530961,-390.7717184,610.1530961,-390.7717184,610.1530961
28.65348177,-390.2231651,610.3562503,,,5.555555556,0,0,-390.2231651,610.3562503,-390.2231651,610.3562503,-390.2231651,610.3562503
29.23923418,-389.6743265,610.5609014,,,5.555555556,0,0,-389.6743265,610.5609014,-389.6743265,610.5609014,-389.6743265,610.5609014
29.83417023,-389.1068377,610.7395222,,,5.555555556,0,0,-389.1068377,610.7395222,-389.1068377,610.7395222,-389.1068377,610.7395222
30.42510773,-388.5416654,610.9121123,,,5.555555556,0,0,-388.5416654,610.9121123,-388.5416654,610.9121123,-388.5416654,610.9121123
31.02018144,-387.9681309,611.0707659,,,5.555555556,0,0,-387.9681309,611.0707659,-387.9681309,611.0707659,-387.9681309,611.0707659
31.61737255,-387.3904764,611.2222667,,,5.555555556,0,0,-387.3904764,611.2222667,-387.3904764,611.2222667,-387.3904764,611.2222667
32.21730596,-386.8076815,611.3646399,,,5.555555556,0,0,-386.8076815,611.3646399,-386.8076815,611.3646399,-386.8076815,611.3646399
32.82792639,-386.206575,611.4720102,,,5.555555556,0,0,-386.206575,611.4720102,-386.206575,611.4720102,-386.206575,611.4720102
33.42892657,-385.6131226,611.56696,,,5.555555556,0,0,-385.6131226,611.56696,-385.6131226,611.56696,-385.6131226,611.56696
34.03093419,-385.0158553,611.642358,,,5.555555556,0,0,-385.0158553,611.642358,-385.0158553,611.642358,-385.0158553,611.642358
34.63282466,-384.4164161,611.6966243,,,5.555555556,0,0,-384.4164161,611.6966243,-384.4164161,611.6966243,-384.4164161,611.6966243
35.23698533,-383.8135625,611.7363443,,,5.555555556,0,0,-383.8135625,611.7363443,-383.8135625,611.7363443,-383.8135625,611.7363443
35.85609864,-383.195133,611.7654334,,,5.555555556,0,0,-383.195133,611.7654334,-383.195133,611.7654334,-383.195133,611.7654334
36.46294199,-382.5883042,611.7696425,,,5.555555556,0,0,-382.5883042,611.7696425,-382.5883042,611.7696425,-382.5883042,611.7696425
37.06676241,-381.9848369,611.7489954,,,5.555555556,0,0,-381.9848369,611.7489954,-381.9848369,611.7489954,-381.9848369,611.7489954
37.6715526,-381.3817812,611.7032241,,,5.555555556,0,0,-381.3817812,611.7032241,-381.3817812,611.7032241,-381.3817812,611.7032241
38.29302731,-380.7621603,611.6552582,,,5.555555556,0,0,-380.7621603,611.6552582,-380.7621603,611.6552582,-380.7621603,611.6552582
38.91583666,-380.1415284,611.6032248,,,5.555555556,0,0,-380.1415284,611.6032248,-380.1415284,611.6032248,-380.1415284,611.6032248
39.53731762,-379.5237704,611.5353007,,,5.555555556,0,0,-379.5237704,611.5353007,-379.5237704,611.5353007,-379.5237704,611.5353007
40.15272542,-378.9188782,611.4220216,,,5.555555556,0,0,-378.9188782,611.4220216,-378.9188782,611.4220216,-378.9188782,611.4220216
40.77020399,-378.3196874,611.2728566,,,5.555555556,0,0,-378.3196874,611.2728566,-378.3196874,611.2728566,-378.3196874,611.2728566
41.38571215,-377.7258145,611.1110996,,,5.555555556,0,0,-377.7258145,611.1110996,-377.7258145,611.1110996,-377.7258145,611.1110996
42.01090554,-377.1197595,610.9575937,,,5.555555556,0,0,-377.1197595,610.9575937,-377.1197595,610.9575937,-377.1197595,610.9575937
42.63113038,-376.526916,610.7753425,,,5.555555556,0,0,-376.526916,610.7753425,-376.526916,610.7753425,-376.526916,610.7753425
43.2500057,-375.9467933,610.5597868,,,5.555555556,0,0,-375.9467933,610.5597868,-375.9467933,610.5597868,-375.9467933,610.5597868
43.87382407,-375.3714158,610.318768,,,5.555555556,0,0,-375.3714158,610.318768,-375.3714158,610.318768,-375.3714158,610.318768
44.49112896,-374.805821,610.0714465,,,5.555555556,0,0,-374.805821,610.0714465,-374.805821,610.0714465,-374.805821,610.0714465
45.12664797,-374.2300754,609.8023714,,,5.555555556,0,0,-374.2300754,609.8023714,-374.2300754,609.8023714,-374.2300754,609.8023714
45.76032734,-373.6680532,609.5096589,,,5.555555556,0,0,-373.6680532,609.5096589,-373.6680532,609.5096589,-373.6680532,609.5096589
